cenario,k,qtd_variaveis,variaveis,silhouette,davies_bouldin,calinski_harabasz,observacao
A_todas_variaveis,6,12,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp; tendencia_renovaveis_5anos; indice_transicao_preliminar,0.37891356825152145,1.0674096232468417,127.1799152097346,KMeans ajustado para o conjunto de variaveis do cenario.
A_todas_variaveis,3,12,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp; tendencia_renovaveis_5anos; indice_transicao_preliminar,0.3673820663323012,1.0382991138795465,129.93219374306267,KMeans ajustado para o conjunto de variaveis do cenario.
A_todas_variaveis,5,12,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp; tendencia_renovaveis_5anos; indice_transicao_preliminar,0.3642325673827874,1.0689720681680104,128.93044818109266,KMeans ajustado para o conjunto de variaveis do cenario.
A_todas_variaveis,2,12,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp; tendencia_renovaveis_5anos; indice_transicao_preliminar,0.3605706383373588,1.135214190751603,175.63907287334794,KMeans ajustado para o conjunto de variaveis do cenario.
A_todas_variaveis,4,12,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp; tendencia_renovaveis_5anos; indice_transicao_preliminar,0.3591105029889913,1.074590475299626,126.52603215372537,KMeans ajustado para o conjunto de variaveis do cenario.
B_sem_indice_transicao_preliminar,6,11,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp; tendencia_renovaveis_5anos,0.3632796736222788,1.077089522398521,117.61801750532221,KMeans ajustado para o conjunto de variaveis do cenario.
B_sem_indice_transicao_preliminar,4,11,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp; tendencia_renovaveis_5anos,0.36010431838884305,1.0571723231833139,120.77582818690718,KMeans ajustado para o conjunto de variaveis do cenario.
B_sem_indice_transicao_preliminar,5,11,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp; tendencia_renovaveis_5anos,0.34576373013017375,1.1160442776167792,117.5664117975291,KMeans ajustado para o conjunto de variaveis do cenario.
B_sem_indice_transicao_preliminar,2,11,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp; tendencia_renovaveis_5anos,0.34470417302155676,1.1938843944585908,157.33740496564394,KMeans ajustado para o conjunto de variaveis do cenario.
B_sem_indice_transicao_preliminar,3,11,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp; tendencia_renovaveis_5anos,0.33027466994076987,1.2385916161479003,120.96501450343658,KMeans ajustado para o conjunto de variaveis do cenario.
C_apenas_variaveis_energia,5,6,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp,0.4496655185468431,0.99205152521055,154.41363651236858,KMeans ajustado para o conjunto de variaveis do cenario.
C_apenas_variaveis_energia,4,6,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp,0.4396623436258101,0.8938141148406702,160.83143530571203,KMeans ajustado para o conjunto de variaveis do cenario.
C_apenas_variaveis_energia,6,6,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp,0.4369000641141101,0.9414108754066927,149.6725567058581,KMeans ajustado para o conjunto de variaveis do cenario.
C_apenas_variaveis_energia,3,6,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp,0.4289723261151991,0.96888274224756,151.47748685371167,KMeans ajustado para o conjunto de variaveis do cenario.
C_apenas_variaveis_energia,2,6,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp,0.3778151240635382,1.2334757719923501,122.50590146196515,KMeans ajustado para o conjunto de variaveis do cenario.
D_apenas_variaveis_eletricidade,2,4,renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec,0.6033158730199186,0.5437195049530443,692.9558422511052,KMeans ajustado para o conjunto de variaveis do cenario.
D_apenas_variaveis_eletricidade,4,4,renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec,0.5621847657771725,0.5393367392440269,1114.258768084707,KMeans ajustado para o conjunto de variaveis do cenario.
D_apenas_variaveis_eletricidade,3,4,renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec,0.552246024532935,0.5537296633183727,863.5611727460762,KMeans ajustado para o conjunto de variaveis do cenario.
D_apenas_variaveis_eletricidade,5,4,renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec,0.520454500739773,0.6144980717749973,1136.4314165183139,KMeans ajustado para o conjunto de variaveis do cenario.
D_apenas_variaveis_eletricidade,6,4,renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec,0.5198526636272708,0.6376356646635485,1247.578637560783,KMeans ajustado para o conjunto de variaveis do cenario.
E_sem_variaveis_derivadas,4,9,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp,0.46760602170277527,0.7425979064106828,213.5987675506913,KMeans ajustado para o conjunto de variaveis do cenario.
E_sem_variaveis_derivadas,5,9,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp,0.4649084042452323,0.7459182735095291,239.6902397513506,KMeans ajustado para o conjunto de variaveis do cenario.
E_sem_variaveis_derivadas,6,9,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp,0.44528639754862603,0.8096984398545118,263.53934724440165,KMeans ajustado para o conjunto de variaveis do cenario.
E_sem_variaveis_derivadas,3,9,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp,0.44326585963644605,0.8198616714781469,183.68271932289392,KMeans ajustado para o conjunto de variaveis do cenario.
E_sem_variaveis_derivadas,2,9,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp,0.4109559241346021,0.9839049986896035,220.57388745958576,KMeans ajustado para o conjunto de variaveis do cenario.
