country,year,cluster_real_sem_vazamento,perfil_real_sem_vazamento,perfil_predito,modelo,distancia_ao_centroide_real,estrategia_validacao
Argentina,2023,0,baixa_transicao,baixa_transicao,decision_tree,1.9792000816871633,sem_vazamento_treino_ate_2022_teste_2023_2025
Argentina,2024,0,baixa_transicao,baixa_transicao,decision_tree,1.7752942921213923,sem_vazamento_treino_ate_2022_teste_2023_2025
Argentina,2025,0,baixa_transicao,baixa_transicao,decision_tree,2.083803946411003,sem_vazamento_treino_ate_2022_teste_2023_2025
Bolivia,2023,0,baixa_transicao,baixa_transicao,decision_tree,1.7788559298784283,sem_vazamento_treino_ate_2022_teste_2023_2025
Bolivia,2024,0,baixa_transicao,baixa_transicao,decision_tree,1.5937609364178684,sem_vazamento_treino_ate_2022_teste_2023_2025
Bolivia,2025,0,baixa_transicao,baixa_transicao,decision_tree,1.438065392887003,sem_vazamento_treino_ate_2022_teste_2023_2025
Brazil,2023,1,transicao_avancada,transicao_intermediaria,decision_tree,4.62881680542079,sem_vazamento_treino_ate_2022_teste_2023_2025
Brazil,2024,1,transicao_avancada,transicao_intermediaria,decision_tree,4.789502192954408,sem_vazamento_treino_ate_2022_teste_2023_2025
Brazil,2025,1,transicao_avancada,transicao_avancada,decision_tree,2.564552796676937,sem_vazamento_treino_ate_2022_teste_2023_2025
Chile,2023,1,transicao_avancada,transicao_intermediaria,decision_tree,4.182703023213341,sem_vazamento_treino_ate_2022_teste_2023_2025
Chile,2024,1,transicao_avancada,transicao_intermediaria,decision_tree,3.7217477525773757,sem_vazamento_treino_ate_2022_teste_2023_2025
Chile,2025,1,transicao_avancada,baixa_transicao,decision_tree,4.402478856502278,sem_vazamento_treino_ate_2022_teste_2023_2025
Colombia,2023,1,transicao_avancada,transicao_avancada,decision_tree,2.1629508524321452,sem_vazamento_treino_ate_2022_teste_2023_2025
Colombia,2024,0,baixa_transicao,baixa_transicao,decision_tree,2.377140954035233,sem_vazamento_treino_ate_2022_teste_2023_2025
Colombia,2025,1,transicao_avancada,transicao_avancada,decision_tree,2.5119163076127595,sem_vazamento_treino_ate_2022_teste_2023_2025
Ecuador,2023,1,transicao_avancada,transicao_avancada,decision_tree,2.317871799030394,sem_vazamento_treino_ate_2022_teste_2023_2025
Ecuador,2024,1,transicao_avancada,transicao_avancada,decision_tree,3.9921625187753835,sem_vazamento_treino_ate_2022_teste_2023_2025
Ecuador,2025,1,transicao_avancada,transicao_avancada,decision_tree,3.046699840289874,sem_vazamento_treino_ate_2022_teste_2023_2025
Paraguay,2023,1,transicao_avancada,transicao_avancada,decision_tree,2.141548790764462,sem_vazamento_treino_ate_2022_teste_2023_2025
Paraguay,2024,1,transicao_avancada,transicao_avancada,decision_tree,2.1128391209807487,sem_vazamento_treino_ate_2022_teste_2023_2025
Paraguay,2025,1,transicao_avancada,transicao_avancada,decision_tree,2.1130429881440644,sem_vazamento_treino_ate_2022_teste_2023_2025
Peru,2023,0,baixa_transicao,baixa_transicao,decision_tree,2.27950247807019,sem_vazamento_treino_ate_2022_teste_2023_2025
Peru,2024,0,baixa_transicao,baixa_transicao,decision_tree,2.851079927617136,sem_vazamento_treino_ate_2022_teste_2023_2025
Peru,2025,0,baixa_transicao,transicao_avancada,decision_tree,2.4391423776439547,sem_vazamento_treino_ate_2022_teste_2023_2025
Uruguay,2023,1,transicao_avancada,transicao_avancada,decision_tree,1.6229225536327296,sem_vazamento_treino_ate_2022_teste_2023_2025
Uruguay,2024,1,transicao_avancada,transicao_avancada,decision_tree,1.9272141863635273,sem_vazamento_treino_ate_2022_teste_2023_2025
Uruguay,2025,1,transicao_avancada,transicao_avancada,decision_tree,1.8522712026805324,sem_vazamento_treino_ate_2022_teste_2023_2025
Venezuela,2023,1,transicao_avancada,transicao_intermediaria,decision_tree,2.3218084028185197,sem_vazamento_treino_ate_2022_teste_2023_2025
Venezuela,2024,1,transicao_avancada,transicao_intermediaria,decision_tree,3.148988763402051,sem_vazamento_treino_ate_2022_teste_2023_2025
Argentina,2023,0,baixa_transicao,baixa_transicao,logistic_regression,1.9792000816871633,sem_vazamento_treino_ate_2022_teste_2023_2025
Argentina,2024,0,baixa_transicao,baixa_transicao,logistic_regression,1.7752942921213923,sem_vazamento_treino_ate_2022_teste_2023_2025
Argentina,2025,0,baixa_transicao,baixa_transicao,logistic_regression,2.083803946411003,sem_vazamento_treino_ate_2022_teste_2023_2025
Bolivia,2023,0,baixa_transicao,baixa_transicao,logistic_regression,1.7788559298784283,sem_vazamento_treino_ate_2022_teste_2023_2025
Bolivia,2024,0,baixa_transicao,baixa_transicao,logistic_regression,1.5937609364178684,sem_vazamento_treino_ate_2022_teste_2023_2025
Bolivia,2025,0,baixa_transicao,baixa_transicao,logistic_regression,1.438065392887003,sem_vazamento_treino_ate_2022_teste_2023_2025
Brazil,2023,1,transicao_avancada,transicao_avancada,logistic_regression,4.62881680542079,sem_vazamento_treino_ate_2022_teste_2023_2025
Brazil,2024,1,transicao_avancada,transicao_avancada,logistic_regression,4.789502192954408,sem_vazamento_treino_ate_2022_teste_2023_2025
Brazil,2025,1,transicao_avancada,transicao_avancada,logistic_regression,2.564552796676937,sem_vazamento_treino_ate_2022_teste_2023_2025
Chile,2023,1,transicao_avancada,transicao_avancada,logistic_regression,4.182703023213341,sem_vazamento_treino_ate_2022_teste_2023_2025
Chile,2024,1,transicao_avancada,transicao_avancada,logistic_regression,3.7217477525773757,sem_vazamento_treino_ate_2022_teste_2023_2025
Chile,2025,1,transicao_avancada,transicao_avancada,logistic_regression,4.402478856502278,sem_vazamento_treino_ate_2022_teste_2023_2025
Colombia,2023,1,transicao_avancada,transicao_avancada,logistic_regression,2.1629508524321452,sem_vazamento_treino_ate_2022_teste_2023_2025
Colombia,2024,0,baixa_transicao,baixa_transicao,logistic_regression,2.377140954035233,sem_vazamento_treino_ate_2022_teste_2023_2025
Colombia,2025,1,transicao_avancada,transicao_avancada,logistic_regression,2.5119163076127595,sem_vazamento_treino_ate_2022_teste_2023_2025
Ecuador,2023,1,transicao_avancada,transicao_avancada,logistic_regression,2.317871799030394,sem_vazamento_treino_ate_2022_teste_2023_2025
Ecuador,2024,1,transicao_avancada,transicao_avancada,logistic_regression,3.9921625187753835,sem_vazamento_treino_ate_2022_teste_2023_2025
Ecuador,2025,1,transicao_avancada,transicao_avancada,logistic_regression,3.046699840289874,sem_vazamento_treino_ate_2022_teste_2023_2025
Paraguay,2023,1,transicao_avancada,transicao_avancada,logistic_regression,2.141548790764462,sem_vazamento_treino_ate_2022_teste_2023_2025
Paraguay,2024,1,transicao_avancada,transicao_avancada,logistic_regression,2.1128391209807487,sem_vazamento_treino_ate_2022_teste_2023_2025
Paraguay,2025,1,transicao_avancada,transicao_avancada,logistic_regression,2.1130429881440644,sem_vazamento_treino_ate_2022_teste_2023_2025
Peru,2023,0,baixa_transicao,baixa_transicao,logistic_regression,2.27950247807019,sem_vazamento_treino_ate_2022_teste_2023_2025
Peru,2024,0,baixa_transicao,baixa_transicao,logistic_regression,2.851079927617136,sem_vazamento_treino_ate_2022_teste_2023_2025
Peru,2025,0,baixa_transicao,baixa_transicao,logistic_regression,2.4391423776439547,sem_vazamento_treino_ate_2022_teste_2023_2025
Uruguay,2023,1,transicao_avancada,transicao_avancada,logistic_regression,1.6229225536327296,sem_vazamento_treino_ate_2022_teste_2023_2025
Uruguay,2024,1,transicao_avancada,transicao_avancada,logistic_regression,1.9272141863635273,sem_vazamento_treino_ate_2022_teste_2023_2025
Uruguay,2025,1,transicao_avancada,transicao_avancada,logistic_regression,1.8522712026805324,sem_vazamento_treino_ate_2022_teste_2023_2025
Venezuela,2023,1,transicao_avancada,transicao_avancada,logistic_regression,2.3218084028185197,sem_vazamento_treino_ate_2022_teste_2023_2025
Venezuela,2024,1,transicao_avancada,transicao_avancada,logistic_regression,3.148988763402051,sem_vazamento_treino_ate_2022_teste_2023_2025
Argentina,2023,0,baixa_transicao,baixa_transicao,knn,1.9792000816871633,sem_vazamento_treino_ate_2022_teste_2023_2025
Argentina,2024,0,baixa_transicao,baixa_transicao,knn,1.7752942921213923,sem_vazamento_treino_ate_2022_teste_2023_2025
Argentina,2025,0,baixa_transicao,baixa_transicao,knn,2.083803946411003,sem_vazamento_treino_ate_2022_teste_2023_2025
Bolivia,2023,0,baixa_transicao,baixa_transicao,knn,1.7788559298784283,sem_vazamento_treino_ate_2022_teste_2023_2025
Bolivia,2024,0,baixa_transicao,baixa_transicao,knn,1.5937609364178684,sem_vazamento_treino_ate_2022_teste_2023_2025
Bolivia,2025,0,baixa_transicao,baixa_transicao,knn,1.438065392887003,sem_vazamento_treino_ate_2022_teste_2023_2025
Brazil,2023,1,transicao_avancada,transicao_avancada,knn,4.62881680542079,sem_vazamento_treino_ate_2022_teste_2023_2025
Brazil,2024,1,transicao_avancada,transicao_avancada,knn,4.789502192954408,sem_vazamento_treino_ate_2022_teste_2023_2025
Brazil,2025,1,transicao_avancada,transicao_avancada,knn,2.564552796676937,sem_vazamento_treino_ate_2022_teste_2023_2025
Chile,2023,1,transicao_avancada,transicao_avancada,knn,4.182703023213341,sem_vazamento_treino_ate_2022_teste_2023_2025
Chile,2024,1,transicao_avancada,transicao_avancada,knn,3.7217477525773757,sem_vazamento_treino_ate_2022_teste_2023_2025
Chile,2025,1,transicao_avancada,transicao_avancada,knn,4.402478856502278,sem_vazamento_treino_ate_2022_teste_2023_2025
Colombia,2023,1,transicao_avancada,transicao_avancada,knn,2.1629508524321452,sem_vazamento_treino_ate_2022_teste_2023_2025
Colombia,2024,0,baixa_transicao,baixa_transicao,knn,2.377140954035233,sem_vazamento_treino_ate_2022_teste_2023_2025
Colombia,2025,1,transicao_avancada,transicao_avancada,knn,2.5119163076127595,sem_vazamento_treino_ate_2022_teste_2023_2025
Ecuador,2023,1,transicao_avancada,transicao_avancada,knn,2.317871799030394,sem_vazamento_treino_ate_2022_teste_2023_2025
Ecuador,2024,1,transicao_avancada,baixa_transicao,knn,3.9921625187753835,sem_vazamento_treino_ate_2022_teste_2023_2025
Ecuador,2025,1,transicao_avancada,transicao_avancada,knn,3.046699840289874,sem_vazamento_treino_ate_2022_teste_2023_2025
Paraguay,2023,1,transicao_avancada,transicao_avancada,knn,2.141548790764462,sem_vazamento_treino_ate_2022_teste_2023_2025
Paraguay,2024,1,transicao_avancada,transicao_avancada,knn,2.1128391209807487,sem_vazamento_treino_ate_2022_teste_2023_2025
Paraguay,2025,1,transicao_avancada,transicao_avancada,knn,2.1130429881440644,sem_vazamento_treino_ate_2022_teste_2023_2025
Peru,2023,0,baixa_transicao,baixa_transicao,knn,2.27950247807019,sem_vazamento_treino_ate_2022_teste_2023_2025
Peru,2024,0,baixa_transicao,baixa_transicao,knn,2.851079927617136,sem_vazamento_treino_ate_2022_teste_2023_2025
Peru,2025,0,baixa_transicao,baixa_transicao,knn,2.4391423776439547,sem_vazamento_treino_ate_2022_teste_2023_2025
Uruguay,2023,1,transicao_avancada,transicao_avancada,knn,1.6229225536327296,sem_vazamento_treino_ate_2022_teste_2023_2025
Uruguay,2024,1,transicao_avancada,transicao_avancada,knn,1.9272141863635273,sem_vazamento_treino_ate_2022_teste_2023_2025
Uruguay,2025,1,transicao_avancada,transicao_avancada,knn,1.8522712026805324,sem_vazamento_treino_ate_2022_teste_2023_2025
Venezuela,2023,1,transicao_avancada,transicao_avancada,knn,2.3218084028185197,sem_vazamento_treino_ate_2022_teste_2023_2025
Venezuela,2024,1,transicao_avancada,transicao_avancada,knn,3.148988763402051,sem_vazamento_treino_ate_2022_teste_2023_2025
Argentina,2023,0,baixa_transicao,baixa_transicao,svm_rbf,1.9792000816871633,sem_vazamento_treino_ate_2022_teste_2023_2025
Argentina,2024,0,baixa_transicao,baixa_transicao,svm_rbf,1.7752942921213923,sem_vazamento_treino_ate_2022_teste_2023_2025
Argentina,2025,0,baixa_transicao,baixa_transicao,svm_rbf,2.083803946411003,sem_vazamento_treino_ate_2022_teste_2023_2025
Bolivia,2023,0,baixa_transicao,baixa_transicao,svm_rbf,1.7788559298784283,sem_vazamento_treino_ate_2022_teste_2023_2025
Bolivia,2024,0,baixa_transicao,baixa_transicao,svm_rbf,1.5937609364178684,sem_vazamento_treino_ate_2022_teste_2023_2025
Bolivia,2025,0,baixa_transicao,baixa_transicao,svm_rbf,1.438065392887003,sem_vazamento_treino_ate_2022_teste_2023_2025
Brazil,2023,1,transicao_avancada,transicao_avancada,svm_rbf,4.62881680542079,sem_vazamento_treino_ate_2022_teste_2023_2025
Brazil,2024,1,transicao_avancada,transicao_avancada,svm_rbf,4.789502192954408,sem_vazamento_treino_ate_2022_teste_2023_2025
Brazil,2025,1,transicao_avancada,transicao_avancada,svm_rbf,2.564552796676937,sem_vazamento_treino_ate_2022_teste_2023_2025
Chile,2023,1,transicao_avancada,transicao_avancada,svm_rbf,4.182703023213341,sem_vazamento_treino_ate_2022_teste_2023_2025
Chile,2024,1,transicao_avancada,transicao_avancada,svm_rbf,3.7217477525773757,sem_vazamento_treino_ate_2022_teste_2023_2025
Chile,2025,1,transicao_avancada,transicao_avancada,svm_rbf,4.402478856502278,sem_vazamento_treino_ate_2022_teste_2023_2025
Colombia,2023,1,transicao_avancada,transicao_avancada,svm_rbf,2.1629508524321452,sem_vazamento_treino_ate_2022_teste_2023_2025
Colombia,2024,0,baixa_transicao,baixa_transicao,svm_rbf,2.377140954035233,sem_vazamento_treino_ate_2022_teste_2023_2025
Colombia,2025,1,transicao_avancada,transicao_avancada,svm_rbf,2.5119163076127595,sem_vazamento_treino_ate_2022_teste_2023_2025
Ecuador,2023,1,transicao_avancada,transicao_avancada,svm_rbf,2.317871799030394,sem_vazamento_treino_ate_2022_teste_2023_2025
Ecuador,2024,1,transicao_avancada,baixa_transicao,svm_rbf,3.9921625187753835,sem_vazamento_treino_ate_2022_teste_2023_2025
Ecuador,2025,1,transicao_avancada,transicao_avancada,svm_rbf,3.046699840289874,sem_vazamento_treino_ate_2022_teste_2023_2025
Paraguay,2023,1,transicao_avancada,transicao_avancada,svm_rbf,2.141548790764462,sem_vazamento_treino_ate_2022_teste_2023_2025
Paraguay,2024,1,transicao_avancada,transicao_avancada,svm_rbf,2.1128391209807487,sem_vazamento_treino_ate_2022_teste_2023_2025
Paraguay,2025,1,transicao_avancada,transicao_avancada,svm_rbf,2.1130429881440644,sem_vazamento_treino_ate_2022_teste_2023_2025
Peru,2023,0,baixa_transicao,baixa_transicao,svm_rbf,2.27950247807019,sem_vazamento_treino_ate_2022_teste_2023_2025
Peru,2024,0,baixa_transicao,baixa_transicao,svm_rbf,2.851079927617136,sem_vazamento_treino_ate_2022_teste_2023_2025
Peru,2025,0,baixa_transicao,baixa_transicao,svm_rbf,2.4391423776439547,sem_vazamento_treino_ate_2022_teste_2023_2025
Uruguay,2023,1,transicao_avancada,transicao_avancada,svm_rbf,1.6229225536327296,sem_vazamento_treino_ate_2022_teste_2023_2025
Uruguay,2024,1,transicao_avancada,transicao_avancada,svm_rbf,1.9272141863635273,sem_vazamento_treino_ate_2022_teste_2023_2025
Uruguay,2025,1,transicao_avancada,transicao_avancada,svm_rbf,1.8522712026805324,sem_vazamento_treino_ate_2022_teste_2023_2025
Venezuela,2023,1,transicao_avancada,transicao_avancada,svm_rbf,2.3218084028185197,sem_vazamento_treino_ate_2022_teste_2023_2025
Venezuela,2024,1,transicao_avancada,transicao_avancada,svm_rbf,3.148988763402051,sem_vazamento_treino_ate_2022_teste_2023_2025
Argentina,2023,0,baixa_transicao,baixa_transicao,random_forest,1.9792000816871633,sem_vazamento_treino_ate_2022_teste_2023_2025
Argentina,2024,0,baixa_transicao,baixa_transicao,random_forest,1.7752942921213923,sem_vazamento_treino_ate_2022_teste_2023_2025
Argentina,2025,0,baixa_transicao,baixa_transicao,random_forest,2.083803946411003,sem_vazamento_treino_ate_2022_teste_2023_2025
Bolivia,2023,0,baixa_transicao,baixa_transicao,random_forest,1.7788559298784283,sem_vazamento_treino_ate_2022_teste_2023_2025
Bolivia,2024,0,baixa_transicao,baixa_transicao,random_forest,1.5937609364178684,sem_vazamento_treino_ate_2022_teste_2023_2025
Bolivia,2025,0,baixa_transicao,baixa_transicao,random_forest,1.438065392887003,sem_vazamento_treino_ate_2022_teste_2023_2025
Brazil,2023,1,transicao_avancada,transicao_avancada,random_forest,4.62881680542079,sem_vazamento_treino_ate_2022_teste_2023_2025
Brazil,2024,1,transicao_avancada,transicao_avancada,random_forest,4.789502192954408,sem_vazamento_treino_ate_2022_teste_2023_2025
Brazil,2025,1,transicao_avancada,transicao_avancada,random_forest,2.564552796676937,sem_vazamento_treino_ate_2022_teste_2023_2025
Chile,2023,1,transicao_avancada,transicao_avancada,random_forest,4.182703023213341,sem_vazamento_treino_ate_2022_teste_2023_2025
Chile,2024,1,transicao_avancada,transicao_avancada,random_forest,3.7217477525773757,sem_vazamento_treino_ate_2022_teste_2023_2025
Chile,2025,1,transicao_avancada,baixa_transicao,random_forest,4.402478856502278,sem_vazamento_treino_ate_2022_teste_2023_2025
Colombia,2023,1,transicao_avancada,transicao_avancada,random_forest,2.1629508524321452,sem_vazamento_treino_ate_2022_teste_2023_2025
Colombia,2024,0,baixa_transicao,baixa_transicao,random_forest,2.377140954035233,sem_vazamento_treino_ate_2022_teste_2023_2025
Colombia,2025,1,transicao_avancada,transicao_avancada,random_forest,2.5119163076127595,sem_vazamento_treino_ate_2022_teste_2023_2025
Ecuador,2023,1,transicao_avancada,transicao_avancada,random_forest,2.317871799030394,sem_vazamento_treino_ate_2022_teste_2023_2025
Ecuador,2024,1,transicao_avancada,transicao_avancada,random_forest,3.9921625187753835,sem_vazamento_treino_ate_2022_teste_2023_2025
Ecuador,2025,1,transicao_avancada,transicao_avancada,random_forest,3.046699840289874,sem_vazamento_treino_ate_2022_teste_2023_2025
Paraguay,2023,1,transicao_avancada,transicao_avancada,random_forest,2.141548790764462,sem_vazamento_treino_ate_2022_teste_2023_2025
Paraguay,2024,1,transicao_avancada,transicao_avancada,random_forest,2.1128391209807487,sem_vazamento_treino_ate_2022_teste_2023_2025
Paraguay,2025,1,transicao_avancada,transicao_avancada,random_forest,2.1130429881440644,sem_vazamento_treino_ate_2022_teste_2023_2025
Peru,2023,0,baixa_transicao,baixa_transicao,random_forest,2.27950247807019,sem_vazamento_treino_ate_2022_teste_2023_2025
Peru,2024,0,baixa_transicao,baixa_transicao,random_forest,2.851079927617136,sem_vazamento_treino_ate_2022_teste_2023_2025
Peru,2025,0,baixa_transicao,baixa_transicao,random_forest,2.4391423776439547,sem_vazamento_treino_ate_2022_teste_2023_2025
Uruguay,2023,1,transicao_avancada,transicao_avancada,random_forest,1.6229225536327296,sem_vazamento_treino_ate_2022_teste_2023_2025
Uruguay,2024,1,transicao_avancada,transicao_avancada,random_forest,1.9272141863635273,sem_vazamento_treino_ate_2022_teste_2023_2025
Uruguay,2025,1,transicao_avancada,transicao_avancada,random_forest,1.8522712026805324,sem_vazamento_treino_ate_2022_teste_2023_2025
Venezuela,2023,1,transicao_avancada,transicao_avancada,random_forest,2.3218084028185197,sem_vazamento_treino_ate_2022_teste_2023_2025
Venezuela,2024,1,transicao_avancada,transicao_avancada,random_forest,3.148988763402051,sem_vazamento_treino_ate_2022_teste_2023_2025
